year,category,value
2003,GHG,553552.8074244049
2003,GHG-CO2,595755.556032034
2003,HFC-PFC-mix,2406.0249468
2003,HFCs,6414.486834880981
2003,N2O,28613.798275434183
2003,NF3,112.57517948238039
2003,PFCs,1506.9385201015061
2003,SF6,981.6647189161245
2004,CH4,71243.57216940881
2004,CO2,449089.8652662993
2004,GHG,558869.2879014545
2004,GHG-CO2,601499.6233304128
2004,HFC-PFC-mix,2437.6149499999997
2004,HFCs,6856.097351357725
2004,N2O,29594.972097501715
2004,NF3,118.369861576102
2004,PFCs,1384.4437193963422
2004,SF6,951.9546779598236
2005,CH4,71257.24169013552
2005,CO2,450057.9764966445
2005,GHG,558990.2746196557
2005,GHG-CO2,601262.733778421
2005,HFC-PFC-mix,2566.9939965333333
2005,HFCs,7267.256347143811
2005,N2O,28427.065860312752
2005,NF3,205.8067999110936
2005,PFCs,1280.3828335906253
2005,SF6,910.389807194558
2006,CH4,71073.25077413673
2006,CO2,450447.5502005995
2006,GHG,559211.2164136327
2006,GHG-CO2,601876.1735998029
2006,HFC-PFC-mix,2580.0571932
2006,HFCs,7598.668016955724
2006,N2O,28257.060919220403
2006,NF3,207.701796264218
2006,PFCs,1125.9891998696003
2006,SF6,866.5901417731452
2007,CH4,70963.05487923826
2007,CO2,452096.403494453
2007,GHG,561382.345748236
2007,GHG-CO2,604312.2465331526
2007,HFC-PFC-mix,2575.9281392
2007,HFCs,8225.901506284412
2007,N2O,28411.549349196535
2007,NF3,211.12355474030278
2007,PFCs,1065.9598379600513
2007,SF6,780.2804077310024
2008,CH4,70583.30135248315
2008,CO2,441109.239013877
2008,GHG,549427.6335414979
2008,GHG-CO2,592070.6225716117
2008,HFC-PFC-mix,2855.333166666667
2008,HFCs,8796.986577850112
2008,N2O,27448.055205438894
2008,NF3,187.90836673318873
2008,PFCs,879.2238239315606
2008,SF6,711.2592379472376
2009,CH4,69026.77930890863
2009,CO2,408850.89262899914
2009,GHG,514715.66803284927
2009,GHG-CO2,555562.1565833736
2009,HFC-PFC-mix,3194.3952708
2009,HFCs,8923.11575071592
2009,N2O,26734.687439226345
2009,NF3,163.49721544746436
2009,PFCs,602.2651751224345
2009,SF6,618.7955623009401
2010,CH4,68813.09084994179
2010,CO2,423244.8146742229
2010,GHG,529602.4426364832
2010,GHG-CO2,572410.9934150155
2010,HFC-PFC-mix,2831.560342133333
2010,HFCs,9709.676600365776
2010,N2O,26654.981571676944
2010,NF3,198.10258489639273
2010,PFCs,652.3939598609563
2010,SF6,626.4389064378137
2011,CH4,68666.74345552477
2011,CO2,416587.6265082042
2011,GHG,523116.06963127106
2011,GHG-CO2,566229.4187979359
2011,HFC-PFC-mix,2843.941787733333
2011,HFCs,10000.516019639754
2011,N2O,26631.40921128374
2011,NF3,226.4585144698498
2011,PFCs,734.9838144503893
2011,SF6,624.8487925712873
2012,CH4,68599.82582814312
2012,CO2,410576.1390979116
2012,GHG,517292.3836725918
2012,GHG-CO2,559418.2194053237
2012,HFC-PFC-mix,2982.8631958666665
2012,HFCs,10444.387204435838
2012,N2O,26445.590684941824
2012,NF3,159.56410088742248
2012,PFCs,667.5736092503812
2012,SF6,685.1376383407129
2013,CH4,68207.77350933784
2013,CO2,408895.54439018475
2013,GHG,515493.86429426377
2013,GHG-CO2,558478.1752570333
2013,HFC-PFC-mix,3126.8718542666666
2013,HFCs,10804.343173691668
2013,N2O,26403.604844515678
2013,NF3,149.89509581862612
2013,PFCs,665.4628170038707
2013,SF6,655.9807305297481
2014,CH4,69692.28097973061
2014,CO2,409750.01309810765
2014,GHG,519128.79512580455
2014,GHG-CO2,565054.4835810914
2014,HFC-PFC-mix,3251.26322642
2014,HFCs,11533.199577595304
2014,N2O,27112.59012983598
2014,NF3,105.02768737977314
2014,PFCs,608.9174316018207
2014,SF6,568.6757537322576
