year,AverageTemperature
1926,17.665183618233588
1927,17.60234297245982
1928,17.652286894587043
1929,17.3925877730293
1930,17.732781695156596
1931,17.63577867996213
1932,17.71726797245955
1933,17.428404249762437
1934,17.69505942545137
1935,17.647516001899152
1936,17.64743656220273
1937,17.764566761633247
1938,17.854721082620987
1939,17.81035956790125
1940,17.59050398860403
1941,17.82219781576461
1942,17.66152659069338
1943,17.749479819563124
1944,17.73079698480538
1945,17.607762321937095
1946,17.9344333570746
1947,17.790526566951716
1948,17.912139363722954
1949,17.859298409306792
1950,17.679402041785483
1951,17.821102991452765
1952,17.829925949667754
1953,17.976885018992935
1954,17.684173456790525
1955,17.71472136752141
1956,17.30505189933512
1957,17.798230199430158
1958,17.997430650522425
1959,18.002708618233804
1960,17.900933879392245
1961,18.029934377967923
1962,17.727212203229104
1963,17.738177967711156
1964,17.655022554605655
1965,17.623809947768518
1966,17.971467331433985
1967,17.752271581196457
1968,17.63904843304849
1969,17.683528846153656
1970,17.779190337131947
1971,17.653380246913663
1972,17.762622792022814
1973,17.972550474833735
1974,17.704323741690516
1975,17.872018209876515
1976,17.496270821462414
1977,17.98838029439696
1978,17.768577943969582
1979,17.961801377017924
1980,17.840025403608685
1981,17.94437431149103
1982,17.955699382715906
1983,18.094130769230546
1984,17.750914672364456
1985,17.760221391263265
1986,17.87824582146257
1987,18.093332953466135
1988,18.121301566951473
1989,18.139926305793
1990,18.43835826210822
1991,18.111251756885068
1992,18.01537882241198
1993,17.942709829059634
1994,18.34565358499536
1995,18.328775546058846
1996,17.91426255935398
1997,18.23427376543202
1998,18.68251429249763
1999,18.484275522317304
2000,18.383936514720133
2001,18.456090384614946
2002,18.664708262108096
2003,18.478554131054022
2004,18.494878133903
2005,18.451510232668742
2006,18.60447200854712
2007,18.68694059829068
2008,18.445346604938134
2009,18.601106101614416
2010,18.553508452041584
2011,18.39331464862309
2012,18.525968518518642
2013,19.0610381136047
